Artist,Title,Year,Sales,Streams,Downloads,Radio Plays,Rating
Gene Autry,"Rudolph, the Red-Nosed Reindeer",1949,15.779,12.604,1.5,0,0.01
Oasis,Wonderwall,1996,15.769,6.266,6.548,7.476,0.563
The Tornados,Telstar,1962,15.768,5.02,8.745,6.504,0
Queen,Crazy Little Thing Called Love,1980,15.762,9.369,8.419,5.523,0.833
Katy Perry,Firework,2010,15.76,9.192,4.375,1.292,0
Rihanna,Only girl (in the world),2010,15.759,5.478,6.643,3.059,0
Paul McCartney & Michael Jackson,Say Say Say,1983,15.751,6.582,6.406,12.747,0.522
U2,Desire,1988,15.738,4.6,8,8.462,1.5
Kanye West,Stronger,2007,15.704,8.365,5.053,2.487,1.67
The Righteous Brothers,You've Lost That Lovin' Feelin',1964,15.698,19.739,5.499,1.689,0.01
Michael Jackson & Janet Jackson,Scream,1995,15.697,4.253,2.861,12.562,2.541
Elvis Presley,Return to Sender,1962,15.671,7.172,9.503,4.567,0
Norman Greenbaum,Spirit in the Sky,1970,15.669,11.141,10.022,9.065,0
Prince,The Most Beautiful Girl in the World,1994,15.666,4.651,6.057,9.698,1.84
Nat King Cole,Unforgettable,1951,15.659,9.477,5.012,0.516,0
Boney M,Ma Baker,1977,15.655,1.223,4.292,21.032,0.526
Wings,Mull of Kintyre,1977,15.637,1.24,13.808,15.809,0
Offspring,Pretty Fly (For a White Guy),1999,15.634,1.759,5.903,13.178,2.845
Madonna,Like a Virgin,1984,15.63,9.012,7.527,6.546,0.643
The Mamas & The Papas,Monday Monday,1966,15.624,13.322,4.907,6.055,0.529
Buddy Holly,That'll Be the Day,1957,15.617,13.125,5.016,0.577,0
Gwen Stefani,Hollaback Girl,2005,15.607,9.286,2.659,6.838,1.047
Destiny's Child,Lose My Breath,2004,15.602,5.37,3.031,9.328,2.553
Madonna,Take a Bow,1995,15.593,6.776,2.063,7.488,2.798
Johnnie Ray,Cry,1951,15.587,13.538,1.5,0.515,0
Del Shannon,Runaway,1961,15.584,10.527,7.63,1.45,0.543
Janet Jackson,Together Again,1998,15.573,4.083,3.23,13.672,2.045
Paul Anka,Diana,1957,15.561,3.99,7.563,3.17,0.573
Jerry Lee Lewis,Great Balls of Fire,1957,15.549,8.888,4.567,3.679,0
Guns n' Roses,Sweet Child O' Mine,1988,15.548,11.414,1.736,3.816,1.181
Flo-Rida & Ke$ha,Right Round,2009,15.542,5.693,6.7,8.774,0.521
Elvis Presley,(Now & then There's) A Fool Such As I,1959,15.525,5.672,9.005,3.306,0
10CC,I'm Not in Love,1975,15.524,6.394,7.309,8.223,1.392
Anita Ward,Ring My Bell,1979,15.509,6.824,8.383,11.801,0.591
Rod Stewart,Do Ya Think I'm Sexy?,1979,15.483,8.683,8.896,8.652,0.528
Taio Cruz,Dynamite,2010,15.464,5.672,6.833,2.333,0
Jason Mraz,I am Yours,2008,15.463,6.454,3.802,9.001,0.542
Mario,Let Me Love You,2005,15.454,6.488,3.333,11.648,0.553
Enigma,Sadeness,1991,15.434,3.203,4.004,21.769,1.838
Snap,Rhythm is a Dancer,1992,15.425,4.969,4.844,18.929,0.625
M,Pop Muzik,1979,15.418,7.014,9.762,14.742,0
Alanis Morissette,Ironic,1996,15.413,7.026,3.143,8.352,1.58
Lionel Richie,Hello,1984,15.404,4.976,10.077,11.587,0.534
Johnny Horton,Battle of New Orleans,1959,15.4,13.594,4.732,0.571,0
Bon Jovi,Livin' On a Prayer,1987,15.359,7.376,5.509,7.893,1.5
Enrique Iglesias,Hero,2001,15.357,3.132,8.482,9.25,1.041
The Sweet,The Ballroom Blitz,1973,15.353,5.792,11.454,8.624,0
Ke$ha,Tik-Toc,2009,15.351,9.694,5.861,6.417,0
Timbaland & Keri Hilson,The Way I Are,2007,15.331,4,6.591,8.178,0.511
Phil Collins,In the Air Tonight,1981,15.329,5.651,7.283,15.724,0
Frank Sinatra,Five Minutes More,1946,15.313,7.014,4.5,0.591,0.531
Vanessa Carlton,A Thousand Miles,2002,15.298,5.843,3.167,7.342,2.214
Al Jolson,Swanee,1920,15.297,11.348,0,0.545,0.7
Al Martino,Here in My Heart,1952,15.292,7.962,8.115,0,0
Kid Rock,All summer long,2008,15.289,3.924,5.1,13.912,0
Van Halen,Jump,1984,15.285,8.589,5.22,8.806,1.037
Peter Gabriel,Sledgehammer,1986,15.285,9.577,4.155,7.952,0.519
Adele,Someone Like You,2011,15.274,4.851,5.35,5.25,0
Fifth Dimension,Aquarius/Let The Sunshine In,1969,15.255,17.696,6.483,3.247,0.75
Gordon Jenkins & The Weavers,"Goodnight, Irene",1950,15.241,11.535,4.6,0,0
Roxette,The Look,1989,15.202,5.297,4.978,17.019,1.529
F R David,Words,1982,15.187,0.516,6.001,23.295,0
Sixpence None The Richer,Kiss Me,1999,15.161,6.535,4.893,5.375,1.885
Irene Cara,Fame,1980,15.159,9.656,7.086,6.333,0.523
Tommy James & the Shondells,Crimson & Clover,1969,15.147,9.722,8.95,8.038,0.571
Fine Young Cannibals,She Drives Me Crazy,1989,15.136,8.177,6.407,9.757,1.284
Led Zeppelin,Whole Lotta Love,1970,15.106,12.478,8.055,8.709,0
Michael Jackson,Don't Stop 'Til You Get Enough,1979,15.097,8.66,8.767,7.867,0.583
Hot Butter,Popcorn,1972,15.066,4.06,5.944,16.352,0
The Bangles,Eternal Flame,1989,15.055,5.757,7.759,10.875,1.6
Santana,Maria Maria,2000,15.047,5.383,2.167,15.607,1.105
Captain & Tennille,Love Will Keep Us Together,1975,15.023,12.171,7.885,1.267,0.553
Billy Ocean,Get Outta My Dreams Get Into My Car,1988,14.964,3.943,9.23,9.029,0.519
Perez Prado,Cherry Pink & Apple Blossom White,1955,14.946,6.834,3.505,2.5,0.75
Ini Kamoze,Here Comes the Hotstepper,1995,14.945,5.688,3.6,9.614,1.082
The Box Tops,The Letter,1967,14.934,15.621,6.274,5.869,0
Pee Wee Hunt,12th Street Rag,1948,14.914,7.483,4.5,0,0.527
Kool & The Gang,Celebration,1981,14.896,11.837,6.207,3.205,0.532
The Platters,Only You (And You Alone),1955,14.896,7.475,0.7,4.295,0.75
Exile,Kiss You All Over,1978,14.886,6.619,9.5,7.266,0.559
The Kinks,Lola,1970,14.883,9.343,9.267,6.507,0.51
Bachman-Turner Overdrive,You Ain't Seen Nothin' Yet,1974,14.876,8.524,10.562,7.9,0
All Saints,Never Ever,1998,14.858,3.085,9.269,7.487,1.061
The Four Seasons,December 1963 (Oh What a Night),1976,14.855,9.985,8.828,4.144,0.591
Tears For Fears,Everybody Wants to Rule the World,1985,14.851,7.249,8.582,6.079,1.058
Al Dexter & his Troopers,Pistol Packin' Mama,1943,14.85,12.552,0,0.512,0.512
Snap,The Power,1990,14.85,5.336,2.501,14.095,1.725
Richard Marx,Right Here Waiting,1989,14.833,4.628,8.063,9.29,2.605
Pat Boone,Love Letters in the Sand,1957,14.828,5.767,6.625,2.124,0.524
The Rolling Stones,Brown Sugar,1971,14.81,11.564,6.829,6.398,0.514
Akon,Smack That,2006,14.786,4.819,5.038,8.348,1.065
Nat King Cole,Nature Boy,1948,14.779,11.42,0,0.511,0.577
Coldplay,Viva La Vida,2008,14.768,7.518,2.78,11.482,0
Paul & Paula,Hey Paula,1963,14.733,6.89,6.299,3.705,0.517
Kingsmen,Louie Louie,1963,14.729,14.762,4.424,0,0.524
The Ronettes,Be My Baby,1963,14.72,14.608,3.26,1.361,0
The Manhattans,Kiss & Say Goodbye,1976,14.716,8.724,6.317,7.904,0.529
Three Dog Night,Joy to the World,1971,14.698,17.042,6.886,1.619,0.554
Olivia Newton-John & Electric Light Orchestra,Xanadu,1980,14.679,3.123,4.555,16.465,0.563
Elvis Presley,Can't Help Falling in Love,1962,14.678,9.82,7.65,1.124,0.514
Marvin Gaye,I Heard it Through the Grapevine,1968,14.667,18.924,5.889,1.62,0.517
Red Hot Chili Peppers,Under the Bridge,1992,14.666,9.033,4.1,6.911,1.037
Elvis Presley,In the Ghetto,1969,14.623,9.112,10.503,10.035,0
Perry Como,Don't Let the Stars Get in Your Eyes,1953,14.582,10.037,6.504,0,0
The Doors,Light My Fire,1967,14.565,17.435,6.425,4.24,0
The Beatles,The Ballad of John & Yoko,1969,14.548,4.931,7.501,11.909,0.53
The Eurythmics,Sweet Dreams (Are Made of This),1983,14.54,9.465,5.71,9.69,0
The Beatles,Can't Buy Me Love,1964,14.537,9.156,8.835,3.783,0.621
Dean Martin,Memories Are Made of This,1956,14.534,6.002,6.503,1.061,0.517
The Drifters,Save the Last Dance For Me,1960,14.533,9.344,7.191,2.355,0
Neil Young,Heart of Gold,1972,14.51,12.1,5.307,5.171,0.511
Jennifer Lopez,Love Don't Cost a Thing,2001,14.506,2.725,5.523,10.879,2.053
The Scissor Sisters,I Don't Feel Like Dancin',2006,14.483,0.739,3.7,16.148,1.567
Jive Bunny & The Mastermixers,Swing the Mood,1989,14.475,2.365,7.971,15.119,1.645
Kitty Kallen,Little Things Mean a Lot,1954,14.474,10.445,6.536,0,0
Madonna,Who's That Girl?,1987,14.472,4.557,6.169,13.692,0.534
Tom Jones,She's a Lady,1971,14.451,8.347,7.659,7.707,0.527
Extreme,More Than Words,1991,14.439,6.428,5.626,7.818,2.136
Nancy Sinatra & Frank Sinatra,Somethin' Stupid,1967,14.435,9.342,11.52,3.587,0.6
Right Said Fred,I'm Too Sexy,1991,14.435,5.774,7.403,5.083,2.278
Vera Lynn,Auf Wiederseh'n Sweetheart,1952,14.432,8.763,6.6,0,0
Creedence Clearwater Revival,Proud Mary,1969,14.429,14.752,6.23,4.862,0.556
U2,"Hold Me, Thrill Me, Kiss Me, Kill Me",1995,14.425,2.692,6.813,9.395,0.75
Glenn Miller,Moonlight Serenade,1939,14.42,8.578,0.583,1.097,0.553
Crash Test Dummies,Mmm Mmm Mmm Mmm,1994,14.409,4.85,4.113,12.322,1.031
Creedence Clearwater Revival,Up Around the Bend,1970,14.394,8.352,8.101,7.505,0.513
Rihanna,Disturbia,2008,14.39,6.568,2.879,8.417,0.611
Elton John,Something About the Way You look Tonight,1997,14.361,4.245,6.288,7.4,1.115
Bobby Goldsboro,Honey,1968,14.34,10.858,13.135,2.708,0.541
Eminem,Just Lose It,2004,14.34,3.613,5.032,8.248,1.864
Musical Youth,Pass the Dutchie,1982,14.339,3.166,10.493,11.829,0
Chicago,Hard to Say I'm Sorry,1982,14.326,6.61,5.421,8.624,0.545
Joe Cocker & Jennifer Warnes,Up Where We Belong,1982,14.311,10.761,7.595,3.492,0
Isaac Hayes,Theme From 'Shaft',1971,14.282,16.298,3.85,4.301,0.537
B J Thomas,Raindrops Keep Falling On My Head,1970,14.278,15.294,6.868,2.679,0.625
John Fred & The Playboy Band,Judy in Disguise (With Glasses),1968,14.277,8.776,5.516,9.339,0.526
"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,2011,14.27,6.356,5.143,3.053,0
Billy Joel,The River of Dreams,1993,14.258,4.591,4.892,8.506,2.091
Joan Osborne,One of Us,1996,14.232,5.863,4.753,6.336,1.277
Lisa Stansfield,All Around the World,1990,14.214,4.917,2.751,12.867,1.752
Alannah Myles,Black Velvet,1990,14.211,6.642,2.586,11.374,1.17
Beyonce,If I Were a Boy,2008,14.21,3.49,3.123,12.397,0.522
Trini Lopez,If I Had a Hammer,1963,14.199,3.651,2.951,7.534,0.521
Roberta Flack,The First Time Ever I Saw Your Face,1972,14.173,12.846,8.755,0.611,0.75
Crazy Frog,Axel F,2005,14.161,1.27,7.461,11.148,0.522
Elvis Presley,(You're The) Devil in Disguise,1963,14.158,4.374,5.333,7.509,0
The Beatles,Lady Madonna,1968,14.152,8.398,10.076,9.552,0
Dire Straits,Money For Nothing,1985,14.152,8.594,5.35,5.353,1.072
Francis Craig,Near You,1947,14.148,11.845,0,0.512,0.542
Elvis Presley,Good Luck Charm,1962,14.123,6.413,7.082,5.005,0
